title,rating,year,actors,languages,runtime,url
Het veld van eer,8.4,1957,Kirk Douglas; Ralph Meeker; Adolphe Menjou; George Macready,English;German;Latin,88,https://www.imdb.com//title/tt0050825/
De 12 gezworenen,9.0,1957,Henry Fonda; Lee J. Cobb; Martin Balsam; John Fiedler,English,96,https://www.imdb.com//title/tt0050083/
Pyaasa,8.3,1957,Guru Dutt; Waheeda Rehman; Mala Sinha; Rehman Khan,Hindi,146,https://www.imdb.com//title/tt0050870/
Letyat zhuravli,8.3,1957,Tatyana Samoylova; Aleksey Batalov; Vasiliy Merkurev; Aleksandr Shvorin,Russian,95,https://www.imdb.com//title/tt0050634/
Witness for the Prosecution,8.4,1957,Tyrone Power; Marlene Dietrich; Charles Laughton; Elsa Lanchester,English;German,116,https://www.imdb.com//title/tt0051201/
I soliti ignoti,7.9,1958,Vittorio Gassman; Marcello Mastroianni; Renato Salvatori; Totò,Italian,106,https://www.imdb.com//title/tt0052216/
Touch of Evil,8.0,1958,Charlton Heston; Orson Welles; Janet Leigh; Joseph Calleia,English;Spanish,95,https://www.imdb.com//title/tt0052311/
Kat op een heet zinken dak,8.0,1958,Elizabeth Taylor; Paul Newman; Burl Ives; Jack Carson,English,108,https://www.imdb.com//title/tt0051459/
Kakushi-toride no san-akunin,8.1,1958,Toshirô Mifune; Misa Uehara; Minoru Chiaki; Kamatari Fujiwara,Japanese,139,https://www.imdb.com//title/tt0051808/
Vertigo,8.3,1958,James Stewart; Kim Novak; Barbara Bel Geddes; Tom Helmore,English,128,https://www.imdb.com//title/tt0052357/
Ballada o soldate,8.2,1959,Vladimir Ivashov; Zhanna Prokhorenko; Antonina Maksimova; Nikolay Kryuchkov,Russian,88,https://www.imdb.com//title/tt0052600/
North by Northwest,8.3,1959,Cary Grant; Eva Marie Saint; James Mason; Jessie Royce Landis,English;French,136,https://www.imdb.com//title/tt0053125/
Ningen no jôken,8.5,1959,Tatsuya Nakadai; Michiyo Aratama; Chikage Awashima; Ineko Arima,Japanese;Mandarin,208,https://www.imdb.com//title/tt0053114/
Ningen no jôken,8.5,1959,Tatsuya Nakadai; Michiyo Aratama; Kokinji Katsura; Jun Tatara,Japanese;Mandarin;Russian,181,https://www.imdb.com//title/tt0053115/
Apur Sansar,8.5,1959,Soumitra Chatterjee; Sharmila Tagore; Alok Chakravarty; Swapan Mukherjee,Bengali,105,https://www.imdb.com//title/tt0052572/
Le trou,8.5,1960,André Bervil; Jean Keraudy; Michel Constantin; Philippe Leroy,French,131,https://www.imdb.com//title/tt0054407/
Psycho,8.5,1960,Anthony Perkins; Janet Leigh; Vera Miles; John Gavin,English,109,https://www.imdb.com//title/tt0054215/
Het appartement,8.3,1960,Jack Lemmon; Shirley MacLaine; Fred MacMurray; Ray Walston,English,125,https://www.imdb.com//title/tt0053604/
Inherit the Wind,8.1,1960,Spencer Tracy; Fredric March; Gene Kelly; Dick York,English,128,https://www.imdb.com//title/tt0053946/
Rocco e i suoi fratelli,8.2,1960,Alain Delon; Renato Salvatori; Annie Girardot; Claudia Cardinale,Italian,179,https://www.imdb.com//title/tt0054248/
La notte,8.0,1961,Jeanne Moreau; Marcello Mastroianni; Monica Vitti; Bernhard Wicki,Italian;English;French,122,https://www.imdb.com//title/tt0054130/
Viridiana,8.1,1961,Silvia Pinal; Francisco Rabal; Fernando Rey; José Calvo,Spanish;English,90,https://www.imdb.com//title/tt0055601/
Yôjinbô,8.2,1961,Toshirô Mifune; Eijirô Tôno; Tatsuya Nakadai; Yôko Tsukasa,Japanese,110,https://www.imdb.com//title/tt0055630/
Oordeel te Neurenberg,8.3,1961,Spencer Tracy; Burt Lancaster; Richard Widmark; Marlene Dietrich,English;German,179,https://www.imdb.com//title/tt0055031/
Ningen no jôken,8.8,1961,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,Japanese;Mandarin;Russian,190,https://www.imdb.com//title/tt0055233/
An Autumn Afternoon,8.1,1962,Chishû Ryû; Shima Iwashita; Keiji Sada; Mariko Okada,Japanese,113,https://www.imdb.com//title/tt0056444/
Il sorpasso,8.2,1962,Vittorio Gassman; Catherine Spaak; Jean-Louis Trintignant; Claudio Gora,Italian;Latin;German;English;Arabic,105,https://www.imdb.com//title/tt0056512/
Lawrence of Arabia,8.3,1962,Peter O'Toole; Alec Guinness; Anthony Quinn; Jack Hawkins,English;Arabic;Turkish,218,https://www.imdb.com//title/tt0056172/
To Kill a Mockingbird,8.3,1962,Gregory Peck; John Megna; Frank Overton; Rosemary Murphy,English,129,https://www.imdb.com//title/tt0056592/
Seppuku,8.6,1962,Tatsuya Nakadai; Akira Ishihama; Shima Iwashita; Tetsurô Tanba,Japanese,133,https://www.imdb.com//title/tt0056058/
