title,rating,year,actors,runtime,url
Idi i smotri,8.4,1985,Aleksey Kravchenko; Olga Mironova; Liubomiras Laucevicius; Vladas Bagdonas,142,https://www.imdb.com//title/tt0091251/
Ran,8.2,1985,Tatsuya Nakadai; Akira Terao; Jinpachi Nezu; Daisuke Ryû,162,https://www.imdb.com//title/tt0089881/
Esperando la carroza,8.0,1985,Luis Brandoni; China Zorrilla; Antonio Gasalla; Julio De Grazia,94,https://www.imdb.com//title/tt0089108/
Balkanski spijun,8.8,1984,Danilo 'Bata' Stojkovic; Bora Todorovic; Mira Banjac; Sonja Savic,95,https://www.imdb.com//title/tt0086935/
Varljivo leto '68,8.5,1984,Slavko Stimac; Danilo 'Bata' Stojkovic; Mira Banjac; Mija Aleksic,91,https://www.imdb.com//title/tt0088338/
Amadeus,8.4,1984,F. Murray Abraham; Tom Hulce; Elizabeth Berridge; Roy Dotrice,160,https://www.imdb.com//title/tt0086879/
Once Upon a Time in America,8.3,1984,Robert De Niro; James Woods; Elizabeth McGovern; Treat Williams,229,https://www.imdb.com//title/tt0087843/
Namuslu,8.1,1984,Sener Sen; Adile Nasit; Aysen Gruda; Erdal Özyagcilar,93,https://www.imdb.com//title/tt0263776/
Star Wars: Episode VI - Return of the Jedi,8.3,1983,Mark Hamill; Harrison Ford; Carrie Fisher; Billy Dee Williams,131,https://www.imdb.com//title/tt0086190/
Scarface,8.3,1983,Al Pacino; Michelle Pfeiffer; Steven Bauer; Mary Elizabeth Mastrantonio,170,https://www.imdb.com//title/tt0086250/
Jaane Bhi Do Yaaro,8.3,1983,Naseeruddin Shah; Ravi Baswani; Bhakti Barve; Satish Shah,132,https://www.imdb.com//title/tt0085743/
Sekerpare,8.0,1983,Ilyas Salman; Sener Sen; Yaprak Özdemiroglu; Aysen Gruda,90,https://www.imdb.com//title/tt0494823/
Nostalgia,8.0,1983,Oleg Yankovskiy; Erland Josephson; Domiziana Giordano; Patrizia Terreno,125,https://www.imdb.com//title/tt0086022/
Maratonci trce pocasni krug,8.9,1982,Bogdan Diklic; Danilo 'Bata' Stojkovic; Pavle Vuisic; Mija Aleksic,92,https://www.imdb.com//title/tt0084302/
Angoor,8.3,1982,Sanjeev Kumar; Moushumi Chatterjee; Deven Verma; Aruna Irani,131,https://www.imdb.com//title/tt0215517/
The Thing,8.2,1982,Kurt Russell; Wilford Brimley; Keith David; Richard Masur,109,https://www.imdb.com//title/tt0084787/
Blade Runner,8.1,1982,Harrison Ford; Rutger Hauer; Sean Young; Edward James Olmos,117,https://www.imdb.com//title/tt0083658/
Fanny och Alexander,8.1,1982,Bertil Guve; Pernilla Allwin; Kristina Adolphson; Börje Ahlstedt,188,https://www.imdb.com//title/tt0083922/
